id,score_date,max_seats,agent_utilization,is_provisioned_any_channel_M_before,max_seats_M_before,agent_utilization_increase,agent_utilization_decrease,seat_utilization,seat_utilization_M_before,seat_utilization_increase,seat_utilization_decrease
JMAN_10592358,10-03-2023,50.0,0.0625,28.0,50.0,0,1,0.32,0.56,0,1
JMAN_9034089,10-03-2023,1.0,0.0,1.0,1.0,0,1,1.0,1.0,0,0
JMAN_18354320,20-01-2023,1.0,0.0,,1.0,0,0,0.0,0.0,0,0
JMAN_9747161,24-03-2023,5.0,0.0,4.0,5.0,0,1,0.8,0.8,0,0
JMAN_9034647,31-03-2023,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_9702646,24-02-2023,2.0,0.0,2.0,2.0,0,1,1.0,1.0,0,0
JMAN_9001490,03-03-2023,5.0,0.0,5.0,5.0,0,1,1.0,1.0,0,0
JMAN_10535735,03-02-2023,15.0,0.545454546,13.0,15.0,0,1,0.733333333,0.866666667,0,1
JMAN_2454712,03-02-2023,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_2453288,17-02-2023,1.0,1.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_18410392,27-01-2023,1.0,0.0,,1.0,0,0,0.0,0.0,0,0
JMAN_2319823,10-02-2023,4.0,0.25,4.0,4.0,0,1,1.0,1.0,0,0
JMAN_9129318,06-01-2023,74.0,0.357142857,67.0,74.0,0,1,0.945945946,0.905405405,1,0
JMAN_2481898,17-03-2023,4.0,0.0,4.0,4.0,0,0,1.0,1.0,0,0
JMAN_9004606,06-01-2023,8.0,0.0,8.0,8.0,0,0,0.875,1.0,0,1
JMAN_2475394,24-02-2023,7.0,0.166666667,6.0,7.0,0,1,0.857142857,0.857142857,0,0
JMAN_15078349,24-02-2023,1.0,1.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_2481325,10-03-2023,5.0,0.0,5.0,5.0,0,1,1.0,1.0,0,0
JMAN_2396226,24-02-2023,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_9021651,10-03-2023,1.0,1.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_9022776,24-03-2023,2.0,0.5,2.0,2.0,0,0,1.0,1.0,0,0
JMAN_9242624,03-02-2023,13.0,0.0,10.0,13.0,0,1,0.769230769,0.769230769,0,0
JMAN_2474033,10-03-2023,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_9026440,03-02-2023,3.0,0.0,3.0,3.0,0,0,1.0,1.0,0,0
JMAN_9056184,10-02-2023,6.0,0.166666667,6.0,7.0,1,0,1.0,0.857142857,1,0
JMAN_2482561,10-02-2023,1.0,0.0,1.0,1.0,0,1,1.0,1.0,0,0
JMAN_2456281,17-02-2023,10.0,0.125,8.0,10.0,1,0,0.8,0.8,0,0
JMAN_11249333,24-03-2023,2.0,0.5,2.0,2.0,0,0,1.0,1.0,0,0
JMAN_9021732,13-01-2023,2.0,0.0,1.0,2.0,0,1,0.5,0.5,0,0
JMAN_9059722,24-02-2023,33.0,0.3125,33.0,33.0,0,1,0.96969697,1.0,0,1
JMAN_2433825,24-02-2023,2.0,0.0,2.0,2.0,0,1,1.0,1.0,0,0
JMAN_18127929,10-02-2023,3.0,0.0,,3.0,0,0,0.0,0.0,0,0
JMAN_18410388,17-03-2023,4.0,0.0,,4.0,0,0,0.0,0.0,0,0
JMAN_2462717,13-01-2023,2.0,0.0,3.0,2.0,0,1,1.0,1.0,0,0
JMAN_2453359,10-02-2023,5.0,0.4,5.0,5.0,0,1,1.0,1.0,0,0
JMAN_10575478,17-02-2023,24.0,0.083333333,24.0,24.0,0,1,1.0,1.0,0,0
JMAN_9258120,17-03-2023,1.0,1.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_2468303,31-03-2023,8.0,0.125,8.0,8.0,0,1,1.0,1.0,0,0
JMAN_9004478,10-02-2023,5.0,0.2,5.0,5.0,0,1,1.0,1.0,0,0
JMAN_18390982,06-01-2023,2.0,0.0,,2.0,0,0,0.0,0.0,0,0
JMAN_9023149,13-01-2023,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_15982019,24-02-2023,2.0,0.0,2.0,2.0,0,1,1.0,1.0,0,0
JMAN_2481177,06-01-2023,40.0,0.102564103,39.0,40.0,0,1,0.975,0.975,0,0
JMAN_9001356,17-02-2023,54.0,0.021276596,51.0,54.0,0,1,0.87037037,0.944444444,0,1
JMAN_2470297,03-02-2023,2.0,0.0,2.0,2.0,0,0,1.0,1.0,0,0
JMAN_11604060,24-02-2023,2.0,0.0,1.0,2.0,0,1,0.5,0.5,0,0
JMAN_2390400,10-02-2023,3.0,0.0,2.0,3.0,0,1,0.666666667,0.666666667,0,0
JMAN_2464269,13-01-2023,3.0,0.5,2.0,3.0,0,1,0.666666667,0.666666667,0,0
