id,score_date,current_arr,future_arr,arr_change,fx_impact,seat_change_arr,product_change_arr
JMAN_9031290,13-01-2023,1500.0,1500.0,0.0,0.0,0.0,0.0
JMAN_9029087,10-03-2023,9540.0,,-9540.0,0.0,0.0,-9540.0
JMAN_2473827,20-01-2023,588.0,588.0,0.0,0.0,0.0,0.0
JMAN_9086153,10-02-2023,21480.0,,-21480.0,0.0,0.12,-21480.0
JMAN_9003408,24-03-2023,420.0,,-420.0,0.0,0.0,-420.0
JMAN_9014366,31-03-2023,768.0,768.0,0.0,0.0,0.0,0.0
JMAN_2448264,24-02-2023,9360.0,8424.0,-936.0,0.0,-936.0,-2052.0
JMAN_9026918,17-03-2023,72.6,76.08,0.0,3.48,0.0,0.0
JMAN_2463786,27-01-2023,1481.4,1819.32,272.88,65.04,0.0,0.0
JMAN_2461549,20-01-2023,5313.0,4607.28,-767.88,62.16,-767.88,0.0
JMAN_2465336,03-02-2023,1259.76,1284.12,0.0,24.36,0.0,0.0
JMAN_12472512,10-02-2023,5940.0,5940.0,0.0,0.0,0.0,0.0
JMAN_2469170,17-03-2023,15354.12,16091.64,0.0,737.52,0.0,0.0
