id,score_date,current_arr,team_plus,pro_plus,ent_plus,csat_score,num_low_sev_outages,num_high_sev_outages,num_tickets_deflected,customer_age_quarters,product_counts,crm_employee_range,region_emea,region_apac,region_amer,region_latam,segment_smb,segment_non_smb,segment_commercial,segment_enterprise,segment_midmarket,future_arr,current_arr.1,max_seats,agent_utilization,seat_utilization,churn,arr_change_percentage,log_current_arr,log_future_arr,customer_age_years,sev_outages_ratio,total_outages,log_max_seats,csat_score_normalized
JMAN_2476482,2023-02-24,60.0,0,0,0,0,12,0,0,17,2,01-Sep,0,0,1,0,0,1,0,0,0,60.0,60.0,1.0,0.0,1.0,0,0.0,4.110873864173311,4.110873864173311,68,0.0,12,0.6931471805599453,0.0
JMAN_9056802,2023-01-06,120.0,0,0,0,0,7,0,0,15,3,01-Sep,0,1,0,0,0,1,0,0,0,120.0,120.0,2.0,0.0,1.0,0,0.0,4.795790545596741,4.795790545596741,60,0.0,7,1.0986122886681098,0.0
JMAN_2461046,2023-03-03,16200.0,1,1,1,0,4,0,0,17,3,100 - 249,0,1,0,0,1,0,0,0,0,17400.0,16200.0,9.0,0.333333333,1.0,0,7.4074074074074066,9.692828247710418,9.76428295481558,68,0.0,4,2.302585092994046,0.0
JMAN_9035528,2023-03-03,912.0,1,0,0,0,11,0,0,16,5,50 - 99,0,0,0,1,1,0,0,0,0,912.0,912.0,4.0,0.0,1.0,0,0.0,6.816735880594968,6.816735880594968,64,0.0,11,1.6094379124341003,0.0
JMAN_9086113,2023-01-27,1152.0,1,0,0,0,8,0,0,17,3,500 - 999,0,0,0,1,0,1,0,1,0,1152.0,1152.0,6.0,0.0,1.0,0,0.0,7.050122520269059,7.050122520269059,68,0.0,8,1.9459101490553132,0.0
JMAN_18409527,2023-03-24,228.0,1,0,0,0,0,0,0,17,1,01-Sep,1,0,0,0,0,1,0,0,0,228.0,228.0,1.0,0.0,0.0,0,0.0,5.43372200355424,5.43372200355424,68,0.0,0,0.6931471805599453,0.0
JMAN_2439655,2023-01-27,60.0,0,0,0,0,8,0,0,17,5,01-Sep,0,0,1,0,0,1,0,0,0,60.0,60.0,1.0,0.0,1.0,0,0.0,4.110873864173311,4.110873864173311,68,0.0,8,0.6931471805599453,0.0
JMAN_11442073,2023-03-03,2844.0,1,1,0,0,11,0,0,5,1,250 - 499,0,0,1,0,0,1,1,0,0,2844.0,2844.0,3.0,0.0,1.0,0,0.0,7.953318346560431,7.953318346560431,20,0.0,11,1.3862943611198906,0.0
JMAN_18391388,2023-03-31,456.0,1,0,0,0,0,0,0,17,1,Oct-49,1,0,0,0,0,1,0,0,0,456.0,456.0,2.0,0.0,0.0,0,0.0,6.124683390894205,6.124683390894205,68,0.0,0,1.0986122886681098,0.0
JMAN_10592358,2023-03-03,53400.0,1,1,0,100,11,0,0,8,1,Oct-49,0,0,1,0,1,0,0,0,0,53400.0,53400.0,50.0,0.071428571,0.28,0,0.0,10.885584751364705,10.885584751364705,32,0.0,11,3.9318256327243257,1.0
