id,score_date,current_arr,team_plus,pro_plus,ent_plus,csat_score,num_low_sev_outages,num_high_sev_outages,num_tickets_deflected,customer_age_quarters,product_counts,crm_employee_range,region_emea,region_apac,region_amer,region_latam,segment_smb,segment_non_smb,segment_commercial,segment_enterprise,segment_midmarket,future_arr,current_arr.1,max_seats,agent_utilization,seat_utilization,churn
JMAN_9182542,2023-03-31,2100.0,1,1,0,0,2,0,0,16,1,Oct-49,0,1,0,0,0,1,0,0,0,2760.0,2100.0,5.0,0.2,1.0,0
JMAN_2479512,2023-03-31,936.0,1,1,0,0,8,0,0,13,4,Oct-49,0,0,1,0,0,1,0,0,0,0.0,936.0,1.0,0.0,1.0,1
JMAN_2458841,2023-03-31,2052.0,1,0,0,0,5,0,0,17,3,Oct-49,1,0,0,0,0,1,0,0,0,2052.0,2052.0,9.0,0.0,1.0,0
JMAN_2464819,2023-02-03,1908.0,1,1,1,0,10,0,0,17,7,Oct-49,0,1,0,0,0,1,0,0,0,1908.0,1908.0,1.0,0.0,1.0,0
JMAN_2461321,2023-02-03,1188.0,1,1,0,0,9,0,2,13,1,Oct-49,1,0,0,0,0,1,0,0,0,1188.0,1188.0,1.0,1.0,1.0,0
JMAN_2478377,2023-03-17,2445.96,1,1,0,0,0,0,0,16,6,250 - 499,1,0,0,0,0,1,1,0,0,2505.36,2445.96,3.0,0.0,0.666666667,0
JMAN_18161158,2023-01-06,9912.0,1,1,1,0,0,0,0,16,1,Oct-49,1,0,0,0,1,0,0,0,0,9912.0,9912.0,14.0,0.0,0.0,0
JMAN_2469242,2023-01-13,3398.52,1,1,0,0,0,0,0,16,1,Oct-49,1,0,0,0,0,1,1,0,0,3547.68,3398.52,6.0,0.0,1.0,0
JMAN_9004606,2023-02-10,3360.0,1,1,0,0,1,0,0,17,1,5000+,0,1,0,0,0,1,0,1,0,4416.0,3360.0,8.0,0.0,1.0,0
JMAN_9040231,2023-02-17,408.0,1,1,0,0,8,0,0,17,6,01-Sep,0,1,0,0,0,1,0,0,0,408.0,408.0,1.0,0.0,1.0,0
JMAN_9001350,2023-02-17,66588.0,1,1,1,0,10,0,0,17,4,50 - 99,0,0,0,1,1,0,0,0,0,0.0,66588.0,31.0,0.25,0.387096774,1
